LFC,VE,VE_norm,LFC_norm
4.4664,0.011886479593532982,0.051396522377469264,0.4284846201044464
8.712,0.08168188191893534,0.36156304790663474,0.8472960148994896
5.4059,0.1983016766997747,0.8798143273599295,0.521162523206468
6.3516,0.03320903751142331,0.1461526737060706,0.6144520314167734
5.8354,0.1983016766997747,0.8798143273599295,0.5635309738528952
5.88,0.057992148520253924,0.25628731262647586,0.5679305847931295
7.3544,0.11827826063404019,0.5241951304626276,0.7133742253824011
8.887,0.09074597688098761,0.40184333497108726,0.8645590623107231
3.4733,0.05421432537347523,0.2394988961912927,0.330519292195327
6.2693,0.06043382291437639,0.26713796522057753,0.6063334668342334
8.887,0.09074597688098761,0.40184333497108726,0.8645590623107231
2.463,0.0587532690498435,0.2596696859964449,0.23085725334064633
6.5766,0.08252782429882628,0.36532236442357885,0.6366473780883591
