id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
IKZF2	2538	0.17883	0.93835	1.0	303	725	0.41401	0.00085056	0.010762	0.137894	47	1113	0.41401
MYF5	53	0.18095	0.86762	1.0	304	10	1.1088	0.00011787	0.0019185	0.036871	30	28	1.1088
BHLHA15	53	0.18095	0.86762	1.0	305	10	1.1088	0.00011787	0.0019185	0.036871	31	28	1.1088
RBPJ	1715	0.18288	0.94046	1.0	306	465	0.42785	0.001022	0.013459	0.165549	48	763	0.42785
SOX18	228	0.18328	0.94065	1.0	307	75	0.30709	0.050616	0.2944	0.772636	193	92	0.30709
ZNF8	3	0.18639	0.38064	1.0	308	2	-0.68884	0.70117	0.70167	1.0	544	1	-0.68884
FOS::JUN	39	0.18776	0.82343	1.0	309	9	0.16413	0.46257	0.84069	1.0	471	14	0.16413
FOSB::JUNB	39	0.18776	0.82343	1.0	310	9	0.16413	0.46257	0.84069	1.0	468	14	0.16413
FOSL2::JUND	39	0.18776	0.82343	1.0	311	9	0.16413	0.46257	0.84069	1.0	470	14	0.16413
FOSL2::JUNB	39	0.18776	0.82343	1.0	312	9	0.16413	0.46257	0.84069	1.0	469	14	0.16413
HES6	6	0.18834	0.49308	1.0	313	2	0.072252	0.43078	0.63812	0.98313	459	1	0.072252
DMRTA1	9	0.19276	0.57868	1.0	314	2	0.94123	0.1636	0.37636	0.860577	334	5	0.94123
TBR1	24	0.19286	0.7433	1.0	315	8	0.7765	0.18566	0.50471	0.881816	348	12	0.7765
TBX18	24	0.19286	0.7433	1.0	316	8	0.7765	0.18566	0.50471	0.881816	345	12	0.7765
EOMES	24	0.19286	0.7433	1.0	317	8	0.7765	0.18566	0.50471	0.881816	346	12	0.7765
TBX3	24	0.19286	0.7433	1.0	318	8	0.7765	0.18566	0.50471	0.881816	347	12	0.7765
TBX2	24	0.19286	0.7433	1.0	319	8	0.7765	0.18566	0.50471	0.881816	343	12	0.7765
TBX6	24	0.19286	0.7433	1.0	320	8	0.7765	0.18566	0.50471	0.881816	344	12	0.7765
ZIC3	984	0.19697	0.94695	1.0	321	274	0.47788	0.00011134	0.0013038	0.027649	29	450	0.47788
ZIC1::ZIC2	984	0.19697	0.94695	1.0	322	274	0.47788	0.00011134	0.0013038	0.027649	28	450	0.47788
GATA5	374	0.19824	0.94905	1.0	323	116	0.085744	0.94783	0.99907	1.0	598	112	0.085744
MSGN1	17	0.19826	0.68646	1.0	324	7	-0.41013	0.57387	0.85609	1.0	518	4	-0.41013
